,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
30,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300004,핸드폰,165120332,3251,97,4,79,2,4,6,6,3,1,0,2,5,13,81,0,92,8,0,6,3,87,4,0,159300045,5820287,131095096,2435762,6094212,9977524,9697451,4308418,1511869,0,2577804,7996119,21130229,133416180,0,135799640,11589703,0,8366857,4865162,128336403,5820919,0,2739,512,361,241,667,959,511,361,151,0,270,748,933,1300,0,1689,1050,0,785,544,905,505,0,5
31,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300007,육류판매,910422226,23760,82,18,9,13,9,23,28,9,9,0,6,8,45,32,9,32,68,0,3,10,20,24,43,743126369,167295857,80555515,119192827,77666572,208733335,256978120,81321713,85974144,56111,55744844,71466286,408464261,292765750,81924974,262793566,552560474,713836,23613555,78260891,166256554,197247951,349261253,16922,6838,3396,3128,3168,3622,3608,3284,3554,4,1686,3065,4626,11065,3314,10142,12189,109,2259,3524,5516,7597,3329,6
32,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300009,청과상,30000000,1911,66,34,17,9,14,17,9,15,19,0,9,20,27,44,0,39,61,0,7,18,21,33,22,19851484,10148516,5192934,2690146,4204535,5191939,2571930,4380277,5768239,0,2635590,6110796,8045950,13207664,0,10092473,16035043,0,1758334,4605851,5357963,8739092,5666274,1241,670,336,222,285,185,213,232,438,0,261,431,372,847,0,601,1239,0,187,235,388,559,468,3
33,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300011,일반의류,61271730,1168,93,7,65,9,4,7,7,1,7,0,3,13,26,34,23,35,65,7,0,10,55,9,20,56762691,4509039,39938272,5636292,2688462,4425207,4074458,476117,4032922,0,1675378,8097240,16038493,21097685,14362934,21181145,39927534,4142505,173921,5868367,33661729,5186448,12075710,1067,101,447,192,72,112,244,43,58,0,61,140,497,446,24,432,725,62,22,161,466,218,229,6
34,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300016,안경,224125842,2068,68,32,17,12,12,14,14,19,14,0,4,25,34,37,1,54,46,1,12,18,32,25,11,151661359,72464483,36971123,26473920,26846149,30659960,30710207,41643336,30821147,0,9013280,55029503,75104247,83429213,1549599,119087681,102518419,2283125,26329250,40740878,71085443,56255590,24911815,1546,522,334,278,267,340,327,312,210,0,96,494,615,842,21,952,1102,46,379,390,611,457,169,12
35,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300018,의약품,760727685,73267,89,11,20,17,17,18,17,11,0,0,16,23,29,30,3,56,44,0,8,20,22,25,25,674548137,86179548,153453931,131850840,125921652,136202885,127118829,85381065,798483,0,125080589,171478039,216980130,225867356,21321571,409975686,322220673,2114278,56727407,144176234,160415224,184314397,184448820,65800,7467,15247,12766,12233,13496,12058,7349,118,0,14987,16612,20060,19739,1869,38618,33172,495,8517,18619,17469,15114,11574,9
36,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300020,서적,119892534,8428,90,10,23,16,18,17,16,5,5,0,24,22,30,23,2,51,49,13,3,6,54,20,4,107929512,11963022,27959587,18657830,20992623,20778359,19541113,5785139,6177883,0,28285744,26503425,35758081,27547426,1797858,48640735,47034303,12110855,2825909,5918480,51715060,19391761,3712973,7496,932,1843,1339,1413,1658,1243,504,428,0,2634,1548,2154,1979,113,3214,4277,1542,478,427,3393,1343,307,3
37,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300021,문구,85572030,6052,97,4,19,21,18,19,20,3,1,0,16,26,38,20,0,58,42,4,19,31,31,13,3,82605011,2967019,15930266,18010012,15587836,16406488,16670409,2380006,587013,0,13413791,22036342,32579739,17172726,369432,25649943,18421229,1831651,8189707,13642368,13540975,5487180,1379292,5686,366,1216,1188,1056,1180,1046,268,98,0,929,1626,1920,1554,23,2428,2509,547,966,1389,1377,483,174,6
38,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300022,화장품,26178521,260,84,16,12,22,16,14,20,13,3,15,3,28,8,17,29,53,47,0,2,18,17,47,17,22031492,4147029,3141222,5769605,4115495,3719080,5286090,3296521,850508,3920002,754583,7261122,2006583,4558924,7677307,13925217,12253304,0,382439,4676848,4440764,12295376,4383094,222,38,23,57,28,58,56,28,10,43,6,36,61,57,57,143,117,0,8,48,68,102,34,3
39,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS300025,자전거 및 기타운송장비,664122448,1636,54,46,25,1,13,6,10,34,12,0,0,16,48,35,0,97,3,0,13,63,15,8,1,359068652,305053796,167249097,3596110,86925603,37285567,64012275,226372449,78681347,0,2241656,108339343,318524439,235017010,0,642851229,21271219,0,86867650,419893616,97440579,54231183,5689420,724,912,93,161,216,109,145,568,344,0,45,468,658,465,0,1451,185,0,177,478,534,284,163,3
